national_team_id,name,team_code,country_id,country_name,country_code,confederation,team_image_url,squad_size,average_age,foreigners_number,foreigners_percentage,total_market_value,coach_name,fifa_ranking,last_season,url,inverse_fifa,norm_fifa,norm_value,team_rating
5750,Ecuador,ecuador,44,Ecuador,EC1N,CONMEBOL,https://tmssl.akamaized.net//images/flagge/head/44.png?lm=1520611569,32,26.0,28,87.5,366730011,,23,2025,https://www.transfermarkt.co.uk/ecuador/startseite/verein/5750,189,0.8952380952380954,0.24077274992511546,0.5025588880503075
6090,Moldova,moldova,112,Moldova,MO1N,UEFA,https://tmssl.akamaized.net//images/flagge/head/112.png?lm=1520611569,26,25.8,15,57.7,10230000,,159,2025,https://www.transfermarkt.co.uk/moldova/startseite/verein/6090,53,0.24761904761904766,0.006079637657545565,0.1026954016421464
6133,Estonia,estonia,47,Estonia,EST2,UEFA,https://tmssl.akamaized.net//images/flagge/head/47.png?lm=1520611569,24,24.2,12,50.0,7050000,,129,2025,https://www.transfermarkt.co.uk/estonia/startseite/verein/6133,83,0.39047619047619053,0.00398616199420015,0.15858217338699632
6219,Armenia,armenia,10,Armenia,ARM1,UEFA,https://tmssl.akamaized.net//images/flagge/head/10.png?lm=1520611569,25,24.8,10,40.0,40380001,,106,2025,https://www.transfermarkt.co.uk/armenia/startseite/verein/6219,106,0.5000000000000001,0.025928157576834837,0.21555689454610097
6303,Mexico,mexico,110,Mexico,MEX1,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/110.png?lm=1520611569,12,26.8,0,,79800003,,15,2025,https://www.transfermarkt.co.uk/mexico/startseite/verein/6303,197,0.9333333333333335,0.05187935721080576,0.4044609476598169
6602,Libya,libya,96,Libya,LPL,CAF,https://tmssl.akamaized.net//images/flagge/head/96.png?lm=1520611569,19,26.5,6,31.6,11430000,,112,2025,https://www.transfermarkt.co.uk/libya/startseite/verein/6602,100,0.4714285714285715,0.0068696284739023245,0.19269320565577
8497,Costa Rica,costa-rica,36,Costa Rica,CRPD,CONCACAF,https://tmssl.akamaized.net//images/flagge/head/36.png?lm=1520611569,23,24.8,11,47.8,18700001,,51,2025,https://www.transfermarkt.co.uk/costa-rica/startseite/verein/8497,161,0.761904761904762,0.011655656827989375,0.3117552988586984
8605,Azerbaijan,azerbaijan,13,Azerbaijan,AZ1,UEFA,https://tmssl.akamaized.net//images/flagge/head/13.png?lm=1520611569,27,27.6,4,14.8,16230000,,124,2025,https://www.transfermarkt.co.uk/azerbaijan/startseite/verein/8605,88,0.41428571428571437,0.010029591739329364,0.17173204075788337
8778,Vietnam,vietnam,185,Vietnam,VIE1,AFC,https://tmssl.akamaized.net//images/flagge/head/185.png?lm=1520611569,23,28.0,0,,6380000,,99,2025,https://www.transfermarkt.co.uk/vietnam/startseite/verein/8778,113,0.5333333333333334,0.0035450837884009605,0.21546038360637396
9110,Kazakhstan,kazakhstan,81,Kazakhstan,KAS1,UEFA,https://tmssl.akamaized.net//images/flagge/head/81.png?lm=1520611569,27,26.4,4,14.8,17700001,,110,2025,https://www.transfermarkt.co.uk/kazakhstan/startseite/verein/9110,102,0.480952380952381,0.010997331147692076,0.19897935106956768
9171,New Zealand,new-zealand,120,New Zealand,NNL1,OFC,https://tmssl.akamaized.net//images/flagge/head/120.png?lm=1520611569,23,27.5,15,65.2,22200001,,85,2025,https://www.transfermarkt.co.uk/new-zealand/startseite/verein/9171,127,0.6000000000000001,0.013959796709029925,0.248375878025418
9173,Faroe Islands,faroe-islands,208,Faroe Islands,FAR2,UEFA,https://tmssl.akamaized.net//images/flagge/head/208.png?lm=1520611569,23,27.4,7,30.4,4850000,,123,2025,https://www.transfermarkt.co.uk/faroe-islands/startseite/verein/9173,89,0.4190476190476191,0.0025378454975460915,0.16914175491757533
